Spine #,Title,Director,Year,DVD,Blu‑ray,Blu-Ray/DVD Combo,4K UHD+Blu-ray Combo,Collectors Sets,On Criterion Channel
112,PlayTime,Jacques Tati,1967,,,,,"['The Complete Jacques Tati (Available)', 'The Complete Jacques Tati (Available)']",True
113,Big Deal on Madonna Street,Mario Monicelli,1958,$23.96,,,,[],True
114,My Man Godfrey,Gregory La Cava,1936,$23.96,$31.96,,,[],False
115,Rififi,Jules Dassin,1955,$23.96,$31.96,,,[],False
116,The Hidden Fortress,Akira Kurosawa,1958,$23.96,$31.96,,,['AK 100: 25 Films by Kurosawa (Out of Print)'],True
117,Diary of a Chambermaid,Luis Buñuel,1964,Out Of Print,,,,[],False
118,Sullivan’s Travels,Preston Sturges,1941,$23.96,$31.96,,,[],False
119,Withnail and I,Bruce Robinson,1986,Out Of Print,,,,[],True
120,How to Get Ahead in Advertising,Bruce Robinson,1988,Out Of Print,,,,[],True
121,Billy Liar,John Schlesinger,1963,Out Of Print,,,,[],False
122,Salesman,"David Maysles, Albert Maysles, and Charlotte Zwerin",1969,$31.96,$31.96,,,[],True
123,Grey Gardens,"David Maysles, Albert Maysles, Ellen Hovde, and Muffie Meyer",1976,$31.96,$31.96,,,['Grey Gardens / The Beales of Grey Gardens Box Set (Available)'],True
124,Carl Theodor Dreyer Box Set,,,Out Of Print,,,,[],False
125,Day of Wrath,Carl Th. Dreyer,1943,,,,,['Carl Theodor Dreyer Box Set (Out of Print)'],True
126,Ordet,Carl Th. Dreyer,1955,,,,,['Carl Theodor Dreyer Box Set (Out of Print)'],True
127,Gertrud,Carl Th. Dreyer,1964,,,,,['Carl Theodor Dreyer Box Set (Out of Print)'],True
128,Carl Th. Dreyer—My Metier,Torben Skjødt Jensen,1995,,,,,['Carl Theodor Dreyer Box Set (Out of Print)'],False
129,Le trou,Jacques Becker,1960,Out Of Print,,,,[],True
130,The Shop on Main Street,Ján Kadár and Elmar Klos,1965,$23.96,,,,[],True
131,Closely Watched Trains,Jiří Menzel,1966,$23.96,,,,[],True
132,The Ruling Class,Peter Medak,1972,$31.96,,,,[],True
133,The Vanishing,George Sluizer,1988,$19.96,$31.96,,,[],True
134,Häxan,Benjamin Christensen,1922,$31.96,$31.96,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
135,Rebecca,Alfred Hitchcock,1940,$23.96,$31.96,,,[],False
136,Spellbound,Alfred Hitchcock,1945,Out Of Print,,,,[],False
137,Notorious,Alfred Hitchcock,1946,$23.96,$31.96,,,[],False
138,Rashomon,Akira Kurosawa,1950,$23.96,$31.96,,,"['AK 100: 25 Films by Kurosawa (Out of Print)', 'Essential Art House: 50 Years of Janus Films (Out of Print)']",True
139,Wild Strawberries,Ingmar Bergman,1957,,$31.96,,,"['Ingmar Bergman’s Cinema (Available)', 'Essential Art House: 50 Years of Janus Films (Out of Print)']",True
140,8½,Federico Fellini,1963,$27.97,$31.96,,,['Essential Fellini (Available)'],True
141,Children of Paradise,Marcel Carné,1945,$23.96,$31.96,,,[],True
142,The Last Wave,Peter Weir,1977,$23.96,,,,[],True
143,That Obscure Object of Desire,Luis Buñuel,1977,,,,,['Three Films by Luis Buñuel (Available)'],False
144,Loves of a Blonde,Miloš Forman,1965,$23.96,,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
145,The Firemen’s Ball,Miloš Forman,1967,Out Of Print,,,,[],True
146,The Cranes Are Flying,Mikhail Kalatozov,1957,$23.96,$31.96,,,[],True
147,In the Mood for Love,Wong Kar Wai,2000,$23.96,$31.96,,$39.96,['World of Wong Kar Wai (Available)'],True
148,Ballad of a Soldier,Grigori Chukhrai,1959,$23.96,,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
149,Juliet of the Spirits,Federico Fellini,1965,,,,,['Essential Fellini (Available)'],True
150,Bob le flambeur,Jean-Pierre Melville,1956,Out Of Print,,,,[],False
151,Traffic,Steven Soderbergh,2000,$31.96,$31.96,,,[],False
152,George Washington,David Gordon Green,2000,,$31.96,$31.96,,[],True
153,General Idi Amin Dada: A Self-Portrait,Barbet Schroeder,1974,$23.96,$31.96,,,[],True
154,The Horse’s Mouth,Ronald Neame,1958,Currently Unavailable,,,,[],True
155,Tokyo Olympiad,Kon Ichikawa,1965,$23.96,$31.96,,,[],True
156,Hearts and Minds,Peter Davis,1974,,,$31.96,,[],True
157,The Royal Tenenbaums,Wes Anderson,2001,,$31.96,,,[],False
158,The Importance of Being Earnest,Anthony Asquith,1952,$23.96,,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
159,Red Beard,Akira Kurosawa,1965,$31.96,,,,['AK 100: 25 Films by Kurosawa (Out of Print)'],True
160,À nous la liberté,René Clair,1931,$23.96,,,,[],True
161,Under the Roofs of Paris,René Clair,1930,$23.96,,,,[],True
162,Ratcatcher,Lynne Ramsay,1999,,$31.96,,,[],True
163,Hopscotch,Ronald Neame,1980,$23.96,$31.96,,,[],True
164,Solaris,Andrei Tarkovsky,1972,$23.96,$31.96,,,[],True
165,Man Bites Dog,"Rémy Belvaux, André Bonzel, and Benoit Poelvoorde",1992,$23.96,,,,[],True
166,Down by Law,Jim Jarmusch,1986,$31.96,$31.96,,,[],True
167,The Complete Monterey Pop Festival,,,,$55.96,,,[],True
168,Monterey Pop,D. A. Pennebaker,1968,$23.96,$39.96,,,['The Complete Monterey Pop Festival (Available)'],True
169,Jimi Plays Monterey & Shake! Otis at Monterey,Chris Hegedus…,1986,,,,,['The Complete Monterey Pop Festival (Available)'],False
170,Trouble in Paradise,Ernst Lubitsch,1932,$31.96,,,,[],True
171,Contempt,Jean-Luc Godard,1963,Out Of Print,,,,[],True
172,Pépé le moko,Julien Duvivier,1937,$23.96,,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
173,The Life and Death of Colonel Blimp,Michael Powell and Emeric Pressburger,1943,$23.96,$31.96,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
174,Band of Outsiders,Jean-Luc Godard,1964,$23.96,$31.96,,,[],False
175,Fear and Loathing in Las Vegas,Terry Gilliam,1998,$31.96,$31.96,,,[],False
176,The Killers,,,$23.96,$31.96,,,[],False
177,The Lost Honor of Katharina Blum,Volker Schlöndorff and Margarethe von Trotta,1975,$23.96,$31.96,,,[],True
178,My Life as a Dog,Lasse Hallström,1985,$31.96,$31.96,,,[],True
179,I Am Curious . . . Box set,,,$31.96,,,,[],True
180,I Am Curious—Yellow,Vilgot Sjöman,1967,,,,,['I Am Curious . . . Box set (Available)'],True
181,I Am Curious—Blue,Vilgot Sjöman,1967,,,,,['I Am Curious . . . Box set (Available)'],True
182,Straw Dogs,Sam Peckinpah,1971,$23.96,$31.96,,,[],False
183,Les dames du Bois de Boulogne,Robert Bresson,1945,$23.96,,,,[],True
184,"By Brakhage: An Anthology, Volume One",Stan Brakhage,,$31.96,,,,['By Brakhage: An Anthology (Available)'],False
185,The Adventures of Antoine Doinel,,,Out Of Print,,,,[],False
186,Stolen Kisses,François Truffaut,1968,,,,,['The Adventures of Antoine Doinel (Out of Print)'],True
187,Bed and Board,François Truffaut,1970,,,,,['The Adventures of Antoine Doinel (Out of Print)'],True
188,Love on the Run,François Truffaut,1979,,,,,['The Adventures of Antoine Doinel (Out of Print)'],True
189,The White Sheik,Federico Fellini,1952,Out Of Print,,,,"['Essential Fellini (Available)', 'Essential Art House: 50 Years of Janus Films (Out of Print)']",False
190,Throne of Blood,Akira Kurosawa,1957,$23.96,$31.96,,,['AK 100: 25 Films by Kurosawa (Out of Print)'],True
191,Jubilee,Derek Jarman,1978,$31.96,,,,[],True
192,Coup de grâce,Volker Schlöndorff,1976,$23.96,,,,[],True
193,Quai des Orfèvres,Henri-Georges Clouzot,1947,Out Of Print,,,,[],False
194,Il posto,Ermanno Olmi,1961,$23.96,,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
195,I fidanzati,Ermanno Olmi,1962,$23.96,,,,[],True
196,Hiroshima mon amour,Alain Resnais,1959,$23.96,$31.96,,,[],True
197,Night and Fog,Alain Resnais,1955,$23.96,$31.96,,,[],True
198,Ali: Fear Eats the Soul,Rainer Werner Fassbinder,1974,,$31.96,,,[],True
199,Schizopolis,Steven Soderbergh,1996,Out Of Print,,,,[],False
200,The Honeymoon Killers,Leonard Kastle,1969,$23.96,$31.96,,,[],True
201,Umberto D.,Vittorio De Sica,1952,,$31.96,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
202,Indiscretion of an American Wife,Vittorio De Sica,1953,$31.96,,,,[],False
203,The BRD Trilogy,,,,$79.96,,,[],False
