Spine #,Title,Director,Year,DVD,Blu‑ray,Blu-Ray/DVD Combo,4K UHD+Blu-ray Combo,Collectors Sets,On Criterion Channel
605,This Happy Breed,David Lean,1944,,,,,"['David Lean Directs Noël Coward (Available)', 'David Lean Directs Noël Coward (Available)']",True
606,Blithe Spirit,David Lean,1945,,,,,"['David Lean Directs Noël Coward (Available)', 'David Lean Directs Noël Coward (Available)']",True
607,A Hollis Frampton Odyssey,Hollis Frampton,,$23.96,$31.96,,,[],False
608,Harold and Maude,Hal Ashby,1971,Out Of Print,Out Of Print,,,[],False
609,¡Alambrista!,Robert M. Young,1977,$23.96,$31.96,,,[],True
610,The Organizer,Mario Monicelli,1963,$15.96,$23.96,,,[],True
611,Being John Malkovich,Spike Jonze,1999,$23.96,$31.96,,,[],False
612,Certified Copy,Abbas Kiarostami,2010,$23.96,$31.96,,,[],True
613,Summer Interlude,Ingmar Bergman,1951,$15.96,$23.96,,,['Ingmar Bergman’s Cinema (Available)'],True
614,Summer with Monika,Ingmar Bergman,1953,$23.96,$31.96,,,['Ingmar Bergman’s Cinema (Available)'],True
615,The Gold Rush,Charles Chaplin,1942,$23.96,$31.96,,,[],True
616,Shallow Grave,Danny Boyle,1994,$23.96,$31.96,,,[],False
617,And Everything Is Going Fine,Steven Soderbergh,2010,Out Of Print,Out Of Print,,,[],False
618,Gray’s Anatomy,Steven Soderbergh,1997,Out Of Print,Out Of Print,,,[],False
619,Le Havre,Aki Kaurismäki,2011,$23.96,$31.96,,,[],True
620,La promesse,Luc Dardenne and Jean-Pierre Dardenne,1996,$23.96,$31.96,,,[],True
621,Rosetta,Luc Dardenne and Jean-Pierre Dardenne,1999,$23.96,$31.96,,,[],True
622,Weekend,Andrew Haigh,2011,,$31.96,,,[],True
623,Lonesome,Paul Fejos,1928,$23.96,$31.96,,,[],False
624,Quadrophenia,Franc Roddam,1979,$23.96,$31.96,,,[],True
625,Eating Raoul,Paul Bartel,1982,$23.96,$31.96,,,[],True
626,Les visiteurs du soir,Marcel Carné,1942,$23.96,$31.96,,,[],True
627,The Game,David Fincher,1997,$23.96,$31.96,,,[],False
628,The Forgiveness of Blood,Joshua Marston,2011,$23.96,$31.96,,,[],False
629,Sunday Bloody Sunday,John Schlesinger,1971,$23.96,$31.96,,,[],False
630,Rosemary’s Baby,Roman Polanski,1968,Out Of Print,Out Of Print,,,[],False
631,Trilogy of Life,,,$63.96,$63.96,,,[],False
632,The Decameron,Pier Paolo Pasolini,1971,,,,,"['Trilogy of Life (Available)', 'Trilogy of Life (Available)']",False
633,The Canterbury Tales,Pier Paolo Pasolini,1972,,,,,"['Trilogy of Life (Available)', 'Trilogy of Life (Available)']",False
634,Arabian Nights,Pier Paolo Pasolini,1974,,,,,"['Trilogy of Life (Available)', 'Trilogy of Life (Available)']",False
635,Weekend,Jean-Luc Godard,1967,$23.96,$31.96,,,[],True
636,Heaven’s Gate,Michael Cimino,1980,$31.96,$39.96,,,[],False
637,Purple Noon,René Clément,1960,$23.96,$31.96,,,[],True
638,Following,Christopher Nolan,1999,$23.96,$31.96,,,[],True
639,The Qatsi Trilogy,,,$63.96,$63.96,,,[],False
640,Koyaanisqatsi,Godfrey Reggio,1983,,,,,"['The Qatsi Trilogy (Available)', 'The Qatsi Trilogy (Available)']",False
641,Powaqqatsi,Godfrey Reggio,1988,,,,,"['The Qatsi Trilogy (Available)', 'The Qatsi Trilogy (Available)']",False
642,Naqoyqatsi,Godfrey Reggio,2002,,,,,"['The Qatsi Trilogy (Available)', 'The Qatsi Trilogy (Available)']",False
643,The Man Who Knew Too Much,Alfred Hitchcock,1934,$23.96,$31.96,,,[],True
644,Pina,Wim Wenders,2011,$23.96,$39.96,,,[],False
645,The Ballad of Narayama,Keisuke Kinoshita,1958,$15.96,$23.96,,,[],True
646,The Kid with a Bike,Jean-Pierre Dardenne and Luc Dardenne,2011,$23.96,$31.96,,,[],False
647,On the Waterfront,Elia Kazan,1954,$31.96,$39.96,,,[],False
648,Chronicle of a Summer,Jean Rouch and Edgar Morin,1961,$23.96,$31.96,,,[],True
649,Ministry of Fear,Fritz Lang,1944,$15.96,$23.96,,,[],False
650,A Man Escaped,Robert Bresson,1956,$23.96,$31.96,,,[],True
651,Badlands,Terrence Malick,1973,$23.96,$31.96,,,[],False
652,Monsieur Verdoux,Charles Chaplin,1947,$23.96,$31.96,,,[],True
653,Gate of Hell,Teinosuke Kinugasa,1953,$15.96,$23.96,,,[],True
654,Repo Man,Alex Cox,1984,$23.96,$31.96,,,[],False
655,Pierre Etaix,,,$39.96,$47.96,,,[],False
656,Jubal,Delmer Daves,1956,$15.96,$23.96,,,[],False
657,3:10 to Yuma,Delmer Daves,1957,$23.96,$31.96,,,[],False
658,Medium Cool,Haskell Wexler,1969,$23.96,$31.96,,,[],False
659,Life Is Sweet,Mike Leigh,1990,$23.96,$31.96,,,[],True
660,Things to Come,William Cameron Menzies,1936,$23.96,$31.96,,,[],True
661,Marketa Lazarová,František Vláčil,1967,$23.96,$31.96,,,[],True
662,Safety Last!,Fred Newmeyer and Sam Taylor,1923,$23.96,$31.96,,,[],True
663,Shoah,Claude Lanzmann,1985,$79.96,$79.96,,,[],False
664,The Life of Oharu,Kenji Mizoguchi,1952,$23.96,$31.96,,,[],True
665,Babette’s Feast,Gabriel Axel,1987,$23.96,$31.96,,,[],True
666,The Devil’s Backbone,Guillermo del Toro,2001,$23.96,$31.96,,,"['Trilogía de Guillermo del Toro (Out of Print)', 'Trilogía de Guillermo del Toro (Available)']",False
667,Seconds,John Frankenheimer,1966,$23.96,$31.96,,,[],False
668,The Big City,Satyajit Ray,1963,$23.96,$31.96,,,[],True
669,Charulata,Satyajit Ray,1964,$23.96,$31.96,,,[],True
670,To Be or Not to Be,Ernst Lubitsch,1942,$23.96,$31.96,,,[],True
671,La Cage aux Folles,Edouard Molinaro,1978,$23.96,$31.96,,,[],False
672,3 Films by Roberto Rossellini Starring Ingrid Bergman,,,$79.96,$79.96,,,[],False
673,Stromboli,Roberto Rossellini,1950,,,,,"['3 Films by Rossellini Starring Bergman (Available)', '3 Films by Rossellini Starring Bergman (Available)']",True
674,Europe ’51,Roberto Rossellini,1952,,,,,"['3 Films by Rossellini Starring Bergman (Available)', '3 Films by Rossellini Starring Bergman (Available)']",True
675,Journey to Italy,Roberto Rossellini,1954,,,,,"['3 Films by Rossellini Starring Bergman (Available)', '3 Films by Rossellini Starring Bergman (Available)']",True
676,I Married a Witch,René Clair,1942,$15.96,$23.96,,,[],True
677,The Uninvited,Lewis Allen,1944,$15.96,$23.96,,,[],False
678,La notte,Michelangelo Antonioni,1961,$23.96,$31.96,,,[],True
679,Zatoichi: The Blind Swordsman,,,,$159.96,,,[],True
680,City Lights,Charles Chaplin,1931,$23.96,$31.96,,,[],True
681,Frances Ha,Noah Baumbach,2013,,$31.96,,,[],True
682,Investigation of a Citizen Above Suspicion,Elio Petri,1970,,$31.96,$31.96,,[],False
683,Nashville,Robert Altman,1975,Out Of Print,Out Of Print,,,[],False
684,Martin Scorsese’s World Cinema Project No. 1,,,,,$99.96,,[],False
685,Touki bouki,Djibril Diop Mambéty,1973,$23.96,$31.96,,,['Martin Scorsese’s World Cinema Project No. 1 (Available)'],True
686,Redes,Emilio Gómez Muriel…,1936,,,,,['Martin Scorsese’s World Cinema Project No. 1 (Available)'],True
687,A River Called Titas,Ritwik Ghatak,1973,,,,,['Martin Scorsese’s World Cinema Project No. 1 (Available)'],True
688,Dry Summer,Metin Erksan,1964,,,,,['Martin Scorsese’s World Cinema Project No. 1 (Available)'],True
689,Trances,Ahmed El Maanouni,1981,$23.96,$31.96,,,['Martin Scorsese’s World Cinema Project No. 1 (Available)'],True
690,The Housemaid,Kim Ki-young,1960,,,,,['Martin Scorsese’s World Cinema Project No. 1 (Available)'],True
691,Thief,Michael Mann,1981,$23.96,$31.96,,,[],False
692,"It’s a Mad, Mad, Mad, Mad World",Stanley Kramer,1963,$23.96,$31.96,,,[],False
693,La vie de bohème,Aki Kaurismäki,1992,,,$31.96,,[],True
694,The Long Day Closes,Terence Davies,1992,,,$31.96,,[],True
695,Blue Is the Warmest Color,Abdellatif Kechiche,2013,$15.96,$19.96,,,[],False
696,Foreign Correspondent,Alfred Hitchcock,1940,$23.96,$31.96,,,[],True
697,Tess,Roman Polanski,1979,$23.96,$31.96,,,[],True
698,King of the Hill,Steven Soderbergh,1993,,$31.96,,,[],False
699,A Brief History of Time,Errol Morris,1991,$19.96,,$31.96,,[],True
700,Fantastic Mr. Fox,Wes Anderson,2009,$23.96,$31.96,,,[],False
701,Persona,Ingmar Bergman,1966,,$31.96,,,['Ingmar Bergman’s Cinema (Available)'],True
702,The Great Beauty,Paolo Sorrentino,2013,$19.96,,$31.96,,[],True
703,The Freshman,Sam Taylor and Fred Newmeyer,1925,,,$31.96,,[],True
704,Riot in Cell Block 11,Don Siegel,1954,$19.96,,$31.96,,[],False
705,Breaking the Waves,Lars von Trier,1996,,$31.96,,,[],True
706,Master of the House,Carl Th. Dreyer,1925,$19.96,,$31.96,,[],True
707,Il sorpasso,Dino Risi,1962,$19.96,,$31.96,,[],True
708,Like Someone in Love,Abbas Kiarostami,2012,$19.96,,,,[],False
709,Red River,Howard Hawks,1948,$23.96,$31.96,,,[],False
710,Judex,Georges Franju,1963,$19.96,,$31.96,,[],True
711,A Hard Day’s Night,Richard Lester,1964,$15.96,,$31.96,$39.96,[],True
712,Scanners,David Cronenberg,1981,$23.96,$31.96,,,[],True
713,The Essential Jacques Demy,,,,$99.96,,,[],False
714,Lola,Jacques Demy,1961,,,,,['The Essential Jacques Demy (Available)'],True
715,Bay of Angels,Jacques Demy,1963,,,,,['The Essential Jacques Demy (Available)'],True
716,The Umbrellas of Cherbourg,Jacques Demy,1964,$23.96,$31.96,,,['The Essential Jacques Demy (Available)'],True
717,The Young Girls of Rochefort,Jacques Demy,1967,$23.96,$31.96,,,['The Essential Jacques Demy (Available)'],True
718,Donkey Skin,Jacques Demy,1970,,,,,['The Essential Jacques Demy (Available)'],True
719,Une chambre en ville,Jacques Demy,1982,,,,,['The Essential Jacques Demy (Available)'],True
720,The Big Chill,Lawrence Kasdan,1983,$23.96,$31.96,,,[],False
721,Love Streams,John Cassavetes,1984,$23.96,$31.96,,,[],False
722,Tie Me Up! Tie Me Down!,Pedro Almodóvar,1990,$23.96,,,,[],True
723,Y tu mamá también,Alfonso Cuarón,2001,$23.96,$31.96,,,[],False
724,All That Jazz,Bob Fosse,1979,$23.96,$31.96,,,[],False
725,Eraserhead,David Lynch,1977,$23.96,$31.96,,,[],True
726,Macbeth,Roman Polanski,1971,$23.96,$31.96,,,[],False
727,The Innocents,Jack Clayton,1961,$23.96,$31.96,,,[],False
728,Sundays and Cybèle,Serge Bourguignon,1962,$19.96,$31.96,,,[],False
729,The Complete Jacques Tati,,,$99.96,$99.96,,,[],False
730,Jour de fête,Jacques Tati,1949,,,,,"['The Complete Jacques Tati (Available)', 'The Complete Jacques Tati (Available)']",True
731,Parade,Jacques Tati,1974,,,,,"['The Complete Jacques Tati (Available)', 'The Complete Jacques Tati (Available)']",True
732,My Darling Clementine,John Ford,1946,$23.96,$31.96,,,[],False
733,La dolce vita,Federico Fellini,1960,Out Of Print,Out Of Print,,,['Essential Fellini (Available)'],False
734,The Shooting,Monte Hellman,1966,,,,,"['The Shooting/Ride in the Whirlwind (Available)', 'The Shooting/Ride in the Whirlwind (Available)']",True
735,Ride in the Whirlwind,Monte Hellman,1966,,,,,"['The Shooting/Ride in the Whirlwind (Available)', 'The Shooting/Ride in the Whirlwind (Available)']",True
736,It Happened One Night,Frank Capra,1934,$23.96,$31.96,,,[],False
737,Les Blank: Always for Pleasure,Les Blank,1968,$99.96,$99.96,,,[],False
738,Tootsie,Sydney Pollack,1982,$23.96,$31.96,,,[],False
739,Safe,Todd Haynes,1995,$23.96,$31.96,,,[],False
740,The Bitter Tears of Petra von Kant,Rainer Werner Fassbinder,1972,$23.96,$31.96,,,[],True
741,My Winnipeg,Guy Maddin,2007,$23.96,$31.96,,,[],False
742,The Palm Beach Story,Preston Sturges,1942,$23.96,$31.96,,,[],False
743,La Ciénaga,Lucrecia Martel,2001,$23.96,$31.96,,,[],True
744,Every Man for Himself,Jean-Luc Godard,1980,$23.96,$31.96,,,[],True
745,Don’t Look Now,Nicolas Roeg,1973,,$31.96,,$39.96,[],False
746,A Day in the Country,Jean Renoir,1936,$23.96,$31.96,,,[],True
747,Fellini Satyricon,Federico Fellini,1969,$23.96,$31.96,,,['Essential Fellini (Available)'],False
748,Watership Down,Martin Rosen,1978,$23.96,$31.96,,,[],True
749,The Soft Skin,François Truffaut,1964,$23.96,$31.96,,,[],True
750,Ride the Pink Horse,Robert Montgomery,1947,$23.96,$31.96,,,[],False
751,Gates of Heaven,Errol Morris,1978,,,,,"['Gates of Heaven/Vernon, Florida (Available)', 'Gates of Heaven/Vernon, Florida (Available)']",True
752,"Vernon, Florida",Errol Morris,1981,,,,,"['Gates of Heaven/Vernon, Florida (Available)', 'Gates of Heaven/Vernon, Florida (Available)']",True
753,The Thin Blue Line,Errol Morris,1988,$23.96,$31.96,,,[],True
754,Odd Man Out,Carol Reed,1947,$23.96,$31.96,,,[],True
755,Le silence de la mer,Jean-Pierre Melville,1949,$23.96,$31.96,,,[],True
756,Limelight,Charles Chaplin,1952,$23.96,$31.96,,,[],True
757,The Rose,Mark Rydell,1979,$23.96,$31.96,,,[],False
758,The Merchant of Four Seasons,Rainer Werner Fassbinder,1971,$23.96,$31.96,,,[],True
759,The Confession,Costa-Gavras,1970,Out Of Print,Out Of Print,,,[],False
760,State of Siege,Costa-Gavras,1972,$23.96,$31.96,,,[],True
761,Valerie and Her Week of Wonders,Jaromil Jireš,1970,$23.96,$31.96,,,[],True
762,A Master Builder,Jonathan Demme,2014,$23.96,$31.96,,,"['André Gregory & Wallace Shawn: 3 Films (Available)', 'André Gregory & Wallace Shawn: 3 Films (Available)']",True
763,The Bridge,Bernhard Wicki,1959,$23.96,$31.96,,,[],True
764,The Fisher King,Terry Gilliam,1991,$23.96,$31.96,,$39.96,[],False
765,The Black Stallion,Carroll Ballard,1979,$23.96,$31.96,,,[],False
766,Here Is Your Life,Jan Troell,1966,$23.96,$31.96,,,[],True
767,My Beautiful Laundrette,Stephen Frears,1985,$23.96,$31.96,,,[],False
768,The French Lieutenant’s Woman,Karel Reisz,1981,$23.96,$31.96,,,[],False
769,Day for Night,François Truffaut,1973,$23.96,$31.96,,,[],False
770,Dressed to Kill,Brian De Palma,1980,$23.96,$31.96,,,[],False
771,"Two Days, One Night",Jean-Pierre Dardenne and Luc Dardenne,2014,$23.96,$31.96,,,[],False
772,Blind Chance,Krzysztof Kieślowski,1981,$23.96,$31.96,,,[],True
773,Breaker Morant,Bruce Beresford,1980,$23.96,$31.96,,,[],True
774,Mister Johnson,Bruce Beresford,1990,$23.96,$31.96,,,[],True
775,A Room with a View,James Ivory,1986,$23.96,$31.96,,,[],True
776,Moonrise Kingdom,Wes Anderson,2012,$23.96,$31.96,,,[],False
777,The Brood,David Cronenberg,1979,$23.96,$31.96,,,[],True
778,A Special Day,Ettore Scola,1977,$23.96,$31.96,,,[],True
779,Mulholland Dr.,David Lynch,2001,$23.96,$31.96,,$39.96,[],False
780,Code Unknown,Michael Haneke,2000,$23.96,$31.96,,,[],True
781,In Cold Blood,Richard Brooks,1967,$23.96,$31.96,,,[],False
782,The Apu Trilogy,,,$79.96,$79.96,,,[],False
783,Pather Panchali,Satyajit Ray,1955,,,,,"['The Apu Trilogy (Available)', 'The Apu Trilogy (Available)']",True
784,Aparajito,Satyajit Ray,1956,,,,,"['The Apu Trilogy (Available)', 'The Apu Trilogy (Available)']",True
785,Apur Sansar,Satyajit Ray,1959,,,,,"['The Apu Trilogy (Available)', 'The Apu Trilogy (Available)']",True
786,Dont Look Back,D. A. Pennebaker,1967,$23.96,$31.96,,,[],True
787,Jellyfish Eyes,Takashi Murakami,2013,$15.96,$23.96,,,[],True
788,Speedy,Ted Wilde,1928,$23.96,$31.96,,,[],True
789,Burroughs: The Movie,Howard Brookner,1983,$23.96,$31.96,,,[],True
790,Lady Snowblood,Toshiya Fujita,1973,,,,,"['The Complete Lady Snowblood (Available)', 'The Complete Lady Snowblood (Available)']",True
791,Lady Snowblood: Love Song of Vengeance,Toshiya Fujita,1974,,,,,"['The Complete Lady Snowblood (Available)', 'The Complete Lady Snowblood (Available)']",True
792,Bitter Rice,Giuseppe De Santis,1949,$15.96,$23.96,,,[],True
793,The American Friend,Wim Wenders,1977,$23.96,$31.96,,,[],True
794,Inside Llewyn Davis,Joel Coen and Ethan Coen,2013,$23.96,$31.96,,,[],False
795,Gilda,Charles Vidor,1946,$23.96,$31.96,,,[],False
796,The Emigrants,Jan Troell,1971,,,,,"['The Emigrants/The New Land (Available)', 'The Emigrants/The New Land (Available)']",False
797,The New Land,Jan Troell,1972,,,,,"['The Emigrants/The New Land (Available)', 'The Emigrants/The New Land (Available)']",False
798,Death by Hanging,Nagisa Oshima,1968,$23.96,$31.96,,,[],True
799,The Kid,Charles Chaplin,1921,$23.96,$31.96,,,[],True
800,The Graduate,Mike Nichols,1967,$23.96,$31.96,,,[],False
801,I Knew Her Well,Antonio Pietrangeli,1965,$23.96,$31.96,,,[],True
802,Paris Belongs to Us,Jacques Rivette,1961,$23.96,$31.96,,,[],True
803,The Manchurian Candidate,John Frankenheimer,1962,$23.96,$31.96,,,[],False
804,A Brighter Summer Day,Edward Yang,1991,$23.96,$31.96,,,[],True
805,A Poem Is a Naked Person,Les Blank,1974,$23.96,$31.96,,,[],True
806,Only Angels Have Wings,Howard Hawks,1939,$23.96,$31.96,,,[],False
807,Barcelona,Whit Stillman,1994,$23.96,$31.96,,,"['A Whit Stillman Trilogy: Metropolitan, Barcelona, The Last Days of Disco (Available)', 'A Whit Stillman Trilogy: Metropolitan, Barcelona, The Last Days of Disco (Available)']",False
808,The Kennedy Films of Robert Drew & Associates,Robert Drew,,$23.96,$31.96,,,[],False
809,Phoenix,Christian Petzold,2014,$23.96,$31.96,,,[],True
810,In a Lonely Place,Nicholas Ray,1950,$23.96,Currently Unavailable,,,[],False
811,The Naked Island,Kaneto Shindo,1960,$23.96,$31.96,,,[],True
812,The Player,Robert Altman,1992,$23.96,$31.96,,,[],True
813,Wim Wenders: The Road Trilogy,,,$79.96,$79.96,,,[],False
814,Alice in the Cities,Wim Wenders,1974,,,,,"['Wim Wenders: The Road Trilogy (Available)', 'Wim Wenders: The Road Trilogy (Available)']",True
815,Wrong Move,Wim Wenders,1975,,,,,"['Wim Wenders: The Road Trilogy (Available)', 'Wim Wenders: The Road Trilogy (Available)']",True
816,Kings of the Road,Wim Wenders,1976,,,,,"['Wim Wenders: The Road Trilogy (Available)', 'Wim Wenders: The Road Trilogy (Available)']",True
817,Le amiche,Michelangelo Antonioni,1955,$23.96,$31.96,,,[],True
818,La chienne,Jean Renoir,1931,$23.96,$31.96,,,[],True
819,Here Comes Mr. Jordan,Alexander Hall,1941,$23.96,$31.96,,,[],False
820,Fantastic Planet,René Laloux,1973,$23.96,$31.96,,,[],True
821,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb",Stanley Kubrick,1964,$23.96,$31.96,,,[],False
822,Clouds of Sils Maria,Olivier Assayas,2014,$23.96,$31.96,,,[],True
823,The In-Laws,Arthur Hiller,1979,$23.96,$31.96,,,[],False
824,"Muriel, or The Time of Return",Alain Resnais,1963,$23.96,$31.96,,,[],True
825,A Touch of Zen,King Hu,1971,$23.96,$31.96,,,[],True
826,The New World,Terrence Malick,2005,$31.96,$39.96,,,[],False
827,McCabe & Mrs. Miller,Robert Altman,1971,$23.96,$31.96,,,[],False
828,Ingrid Bergman: In Her Own Words,Stig Björkman,2015,$23.96,$31.96,,,[],True
829,A Taste of Honey,Tony Richardson,1961,$23.96,$31.96,,,[],True
830,Chimes at Midnight,Orson Welles,1966,$23.96,$31.96,,,[],True
831,The Immortal Story,Orson Welles,1968,$23.96,$31.96,,,[],True
832,The Story of the Last Chrysanthemum,Kenji Mizoguchi,1939,$23.96,$31.96,,,[],True
833,Cat People,Jacques Tourneur,1942,$23.96,$31.96,,,[],False
834,Blood Simple,Joel Coen,1984,$23.96,$31.96,,,[],True
835,Valley of the Dolls,Mark Robson,1967,$23.96,$31.96,,,[],False
836,Beyond the Valley of the Dolls,Russ Meyer,1970,$23.96,$31.96,,,[],False
837,Dekalog,Krzysztof Kieślowski,1988,$79.96,$79.96,,,[],False
838,Pan’s Labyrinth,Guillermo del Toro,2006,$23.96,$31.96,,,"['Trilogía de Guillermo del Toro (Out of Print)', 'Trilogía de Guillermo del Toro (Available)']",False
839,Boyhood,Richard Linklater,2014,$23.96,$31.96,,,[],True
840,The Executioner,Luis García Berlanga,1963,$23.96,$31.96,,,[],True
841,Lone Wolf and Cub,,,$79.96,$79.96,,,[],False
842,Akira Kurosawa’s Dreams,Akira Kurosawa,1990,$23.96,$31.96,,$39.96,[],False
843,Punch-Drunk Love,Paul Thomas Anderson,2002,$23.96,$31.96,,,[],False
844,One-Eyed Jacks,Marlon Brando,1961,$23.96,$31.96,,,[],False
845,The Squid and the Whale,Noah Baumbach,2005,$23.96,$31.96,,,[],False
846,Heart of a Dog,Laurie Anderson,2015,$23.96,$31.96,,,[],True
847,The Asphalt Jungle,John Huston,1950,$23.96,$31.96,,,[],False
848,Roma,Federico Fellini,1972,$23.96,$31.96,,,['Essential Fellini (Available)'],False
849,His Girl Friday,Howard Hawks,1940,$31.96,$39.96,,,[],False
850,Something Wild,Jack Garfein,1961,$23.96,$31.96,,,[],False
851,Fox and His Friends,Rainer Werner Fassbinder,1975,$23.96,$31.96,,,[],True
852,Black Girl,Ousmane Sembène,1966,$23.96,$31.96,,,[],True
853,Cameraperson,Kirsten Johnson,2016,$23.96,$31.96,,,[],True
854,The Tree of Wooden Clogs,Ermanno Olmi,1978,$23.96,$31.96,,,[],True
855,Women on the Verge of a Nervous Breakdown,Pedro Almodóvar,1988,$23.96,$31.96,,,[],False
856,The Before Trilogy,,,$79.96,$79.96,,,[],False
857,Before Sunrise,Richard Linklater,1995,,,,,"['The Before Trilogy (Available)', 'The Before Trilogy (Available)']",False
858,Before Sunset,Richard Linklater,2004,,,,,"['The Before Trilogy (Available)', 'The Before Trilogy (Available)']",False
859,Before Midnight,Richard Linklater,2013,,,,,"['The Before Trilogy (Available)', 'The Before Trilogy (Available)']",False
860,Mildred Pierce,Michael Curtiz,1945,$23.96,$31.96,,$39.96,[],False
861,45 Years,Andrew Haigh,2015,$23.96,$31.96,,,[],True
862,Canoa: A Shameful Memory,Felipe Cazals,1976,$23.96,$31.96,,,[],True
863,Multiple Maniacs,John Waters,1970,$23.96,$31.96,,,[],True
864,Being There,Hal Ashby,1979,$23.96,$31.96,,,[],False
865,Blow-Up,Michelangelo Antonioni,1966,$23.96,$31.96,,,[],False
866,Buena Vista Social Club,Wim Wenders,1999,$23.96,$31.96,,,[],True
867,Woman of the Year,George Stevens,1942,$23.96,$31.96,,,[],False
868,Tampopo,Juzo Itami,1985,$23.96,$31.96,,,[],True
869,Rumble Fish,Francis Ford Coppola,1983,$23.96,$31.96,,,[],False
870,Othello,Orson Welles,1952,$31.96,$39.96,,,[],True
871,Dheepan,Jacques Audiard,2015,$23.96,$31.96,,,[],True
872,Ghost World,Terry Zwigoff,2001,$23.96,$31.96,,,[],True
873,Martin Scorsese’s World Cinema Project No. 2,,,,,$99.96,,[],False
874,Insiang,Lino Brocka,1976,,,,,['Martin Scorsese’s World Cinema Project No. 2 (Available)'],True
875,Mysterious Object at Noon,Apichatpong Weerasethakul,2000,,,,,['Martin Scorsese’s World Cinema Project No. 2 (Available)'],True
876,Revenge,Ermek Shinarbaev,1989,,,,,['Martin Scorsese’s World Cinema Project No. 2 (Available)'],False
877,Limite,Mário Peixoto,1931,,,,,['Martin Scorsese’s World Cinema Project No. 2 (Available)'],True
878,Law of the Border,Lütfi Ö. Akad,1966,,,,,['Martin Scorsese’s World Cinema Project No. 2 (Available)'],True
879,Taipei Story,Edward Yang,1985,,,,,['Martin Scorsese’s World Cinema Project No. 2 (Available)'],True
880,They Live by Night,Nicholas Ray,1948,$23.96,$31.96,,,[],False
881,The Marseille Trilogy,,,$79.96,$79.96,,,[],False
882,Marius,Alexander Korda,1931,,,,,"['The Marseille Trilogy (Available)', 'The Marseille Trilogy (Available)']",True
883,Fanny,Marc Allégret,1932,,,,,"['The Marseille Trilogy (Available)', 'The Marseille Trilogy (Available)']",True
884,César,Marcel Pagnol,1936,,,,,"['The Marseille Trilogy (Available)', 'The Marseille Trilogy (Available)']",True
885,The Lodger: A Story of the London Fog,Alfred Hitchcock,1927,$23.96,$31.96,,,[],True
886,L’argent,Robert Bresson,1983,$23.96,$31.96,,,[],True
887,Lost in America,Albert Brooks,1985,$23.96,$31.96,,,[],False
888,Stalker,Andrei Tarkovsky,1979,$23.96,$31.96,,,[],True
889,The Breaking Point,Michael Curtiz,1950,$23.96,$31.96,,,[],False
890,Meantime,Mike Leigh,1984,$23.96,$31.96,,,[],True
891,La poison,Sacha Guitry,1951,$23.96,$31.96,,,[],True
892,Festival,Murray Lerner,1967,$23.96,$31.96,,,[],True
893,Certain Women,Kelly Reichardt,2016,$23.96,$31.96,,,[],True
894,The Piano Teacher,Michael Haneke,2001,$23.96,$31.96,,,[],True
895,David Lynch: The Art Life,Olivia Neergaard-Holm…,2016,$15.96,$23.96,,,[],True
896,The Lure,Agnieszka Smoczyńska,2015,$23.96,$31.96,,,[],True
897,Barry Lyndon,Stanley Kubrick,1975,,$31.96,,,[],False
898,Twin Peaks: Fire Walk with Me,David Lynch,1992,$23.96,$31.96,,,[],True
899,Personal Shopper,Olivier Assayas,2016,$23.96,$31.96,,,[],False
900,100 Years of Olympic Films: 1912–2012,,,$319.96,$319.96,,,[],True
901,The Philadelphia Story,George Cukor,1940,$23.96,$31.96,,,[],False
902,Desert Hearts,Donna Deitch,1985,$23.96,$31.96,,,[],True
903,Jabberwocky,Terry Gilliam,1977,$23.96,$31.96,,,[],True
904,Election,Alexander Payne,1999,$23.96,$31.96,,,[],False
905,The Breakfast Club,John Hughes,1985,,$31.96,,,[],False
906,"I, Daniel Blake",Ken Loach,2016,$23.96,$31.96,,,[],False
907,Westfront 1918,G. W. Pabst,1930,$23.96,$31.96,,,[],True
908,Kameradschaft,G. W. Pabst,1931,$23.96,$31.96,,,[],True
909,Night of the Living Dead,George A. Romero,1968,$31.96,$31.96,,$39.96,[],True
910,Tom Jones,Tony Richardson,1963,$23.96,$31.96,,,[],True
911,The Hero,Satyajit Ray,1966,$23.96,$31.96,,,[],True
912,An Actor’s Revenge,Kon Ichikawa,1963,$23.96,$31.96,,,[],True
913,The Age of Innocence,Martin Scorsese,1993,$23.96,$31.96,,,[],False
914,Baal,Volker Schlöndorff,1970,$23.96,$31.96,,,[],True
915,King of Jazz,John Murray Anderson,1930,$23.96,$31.96,,,[],False
916,Women in Love,Ken Russell,1969,$23.96,$31.96,,,[],False
917,The Awful Truth,Leo McCarey,1937,$23.96,$31.96,,,[],False
918,The Color of Pomegranates,Sergei Parajanov,1969,$23.96,$31.96,,,[],True
919,Dead Man,Jim Jarmusch,1995,$23.96,$31.96,,,[],True
920,The Virgin Suicides,Sofia Coppola,1999,$23.96,$31.96,,$39.96,[],False
921,Moonrise,Frank Borzage,1948,$23.96,$31.96,,,[],False
922,The Other Side of Hope,Aki Kaurismäki,2017,$23.96,$31.96,,,[],True
923,Beyond the Hills,Cristian Mungiu,2012,$23.96,$31.96,,,[],True
924,Graduation,Cristian Mungiu,2016,$23.96,$31.96,,,[],False
925,Midnight Cowboy,John Schlesinger,1969,$23.96,$31.96,,,[],False
